preview,source_png,source_sha256
00_florist-homepage-concept.webp,00_florist-homepage-concept.png,348de584fa7784abc90bdfb2d6cfbb0c2f8ef07c0e5572809bb05130298c775f
01_lotus-bud-cinematic.webp,01_lotus-bud-cinematic.png,55c7f8102298c34186702c1a854e5d02ee0df95f1afb0d4ea3761e12d4de1257
02_lotus-full-bloom-cinematic.webp,02_lotus-full-bloom-cinematic.png,d80753ff94c6ec851ddbc6f33ff259a5e6bd90470b1e6723d52a267f9045b688
03_lotus-asset-board-01.webp,03_lotus-asset-board-01.png,a4df8f47c1ada97fc1dc43fcd5b220cf91c21f9c86c0ea8ff629d3ae235afb3c
04_lotus-asset-board-02.webp,04_lotus-asset-board-02.png,9bcc6f2759dedaac160a5baa4b805b8c4b4b2efaf027613e8eb95ef9b31ee1da
05_lotus-asset-board-03.webp,05_lotus-asset-board-03.png,abaa3148661543ef1c8a352071450c3ede2534f0b53d94e072fbd2104c6a62a9
06_lotus-asset-board-04.webp,06_lotus-asset-board-04.png,44575d4a134bcd272406a49c2dc2c00f93ad358a0884f010103be424659709ed
07_lotus-asset-board-05.webp,07_lotus-asset-board-05.png,4ea940b4b36fe8eaae0d9e3eed0a17c7d6cb3f92f4e90a7fa342997de1a3eb04
08_lotus-asset-board-06.webp,08_lotus-asset-board-06.png,34dcd4ca0540527bd290c73c1bf3b7469cb39f1ea337766401f4b788f4bf4b56
09_lotus-asset-board-07.webp,09_lotus-asset-board-07.png,811d84117ff50ef889ea82dc99c3def125bc64fb707984690794c8f5239dec36
10_lotus-asset-board-08.webp,10_lotus-asset-board-08.png,e958ba964d32ed08b9bc8741b35da2894793c47705513c6d6518e5a72e2cfd0b
11_lotus-asset-board-09.webp,11_lotus-asset-board-09.png,3f490c71a956162c148559b2b92a61d0c893d124b0a488018e2e762ce96a1cf2
12_lotus-asset-board-10.webp,12_lotus-asset-board-10.png,4e4d98fc554ddcb9d07ad29d9f144e3774047ee7b1071c515617242cb1f77263
13_lotus-asset-board-11.webp,13_lotus-asset-board-11.png,82f344e76f5b7ea27524454c033a0e049f7129551d4aae5503d99b06dc13651d
14_lotus-asset-board-12.webp,14_lotus-asset-board-12.png,b48e370ad7a154924fad9a2db43cabd78cc6894a686789a58b0485683c8ca8f3
15_lotus-asset-board-13.webp,15_lotus-asset-board-13.png,6c33b171eb1f6b1a126e0c0854f087a2c35c5b36529809537a105fd80bd11df8
16_lotus-asset-board-14.webp,16_lotus-asset-board-14.png,dd82cb621ef38879f912a7843fbb237d5efd61865608b118ace3c5663fb0073e
17_lotus-asset-board-15.webp,17_lotus-asset-board-15.png,95af31ef34192f33229e6242756a8ce71acd4b862d7e76f59d678576ae68eb17
18_visual-direction-board-01.webp,18_visual-direction-board-01.png,99dbbfc56602b66c8f79d18961b29b75f5790780964752da58c2ab96106f358f
19_visual-direction-board-02.webp,19_visual-direction-board-02.png,212a3c49432d7106b80a6e40922ed66b7b0099d960fa34d0084cc31346115422
20_visual-direction-board-03.webp,20_visual-direction-board-03.png,7397d592a39faf4d0431142dca7eab30184e651d471d50c69dde356480d26ace
