record_type,record_id,source_ids,source_file,source_sha256,source_type,canonical_asset_id,disposition,priority,intended_role,output_basename,status,notes
source,SRC-00,00,00_florist-homepage-concept.png,348de584fa7784abc90bdfb2d6cfbb0c2f8ef07c0e5572809bb05130298c775f,broad-concept,,reference-only,LOCKED,visual-reference,,locked,"Mistaken broad output; never import or promote"
source,SRC-01,01,01_lotus-bud-cinematic.png,55c7f8102298c34186702c1a854e5d02ee0df95f1afb0d4ea3761e12d4de1257,standalone-scene,CIN-BUD,direct-convert,P0,hero-and-bloom-chapter,cinematic-lotus-bud-pond,approved,"Clean 1536x1024 source"
source,SRC-02,02,02_lotus-full-bloom-cinematic.png,d80753ff94c6ec851ddbc6f33ff259a5e6bd90470b1e6723d52a267f9045b688,standalone-scene,CIN-BLOOM,direct-convert,P0,bloom-chapter,cinematic-lotus-bloom-pond,approved,"Clean 1536x1024 source"
source,SRC-03,03,03_lotus-asset-board-01.png,a4df8f47c1ada97fc1dc43fcd5b220cf91c21f9c86c0ea8ff629d3ae235afb3c,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-04,04,04_lotus-asset-board-02.png,9bcc6f2759dedaac160a5baa4b805b8c4b2efaf027613e8eb95ef9b31ee1da,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-05,05,05_lotus-asset-board-03.png,abaa3148661543ef1c8a352071450c3ede2534f0b53d94e072fbd2104c6a62a9,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-06,06,06_lotus-asset-board-04.png,44575d4a134bcd272406a49c2dc2c00f93ad358a0884f010103be424659709ed,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-07,07,07_lotus-asset-board-05.png,4ea940b4b36fe8eaae0d9e3eed0a17c7d6cb3f92f4e90a7fa342997de1a3eb04,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-08,08,08_lotus-asset-board-06.png,34dcd4ca0540527bd290c73c1bf3b7469cb39f1ea337766401f4b788f4bf4b56,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-09,09,09_lotus-asset-board-07.png,811d84117ff50ef889ea82dc99c3def125bc64fb707984690794c8f5239dec36,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Baked checkerboard and labels; no direct shipping"
source,SRC-10,10,10_lotus-asset-board-08.png,e958ba964d32ed08b9bc8741b35da2894793c47705513c6d6518e5a72e2cfd0b,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Baked checkerboard and labels; no direct shipping"
source,SRC-11,11,11_lotus-asset-board-09.png,3f490c71a956162c148559b2b92a61d0c893d124b0a488018e2e762ce96a1cf2,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Repeated labeled assets; no direct shipping"
source,SRC-12,12,12_lotus-asset-board-10.png,4e4d98fc554ddcb9d07ad29d9f144e3774047ee7b1071c515617242cb1f77263,contact-sheet,,reference-board,P1,candidate-provenance,,cataloged,"Baked checkerboard and labels; no direct shipping"
